complex	planar
Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex complex III)	FALSE
162	TRUE
105	TRUE
65	FALSE
118	TRUE
283	TRUE
Ssh1p translocon complex	TRUE
117	TRUE
44	FALSE
Cbp1pPet309p complex	TRUE
112	TRUE
229	TRUE
AP-1 adaptor complex	TRUE
calcineurin complex	TRUE
protein phosphatase type 2A complex (Rts1p)	TRUE
Aurora B-INCENP protein kinase complex	TRUE
CORVET complex	FALSE
50	FALSE
MRX complex	TRUE
33	FALSE
371	TRUE
204	TRUE
zeta DNA polymerase complex	TRUE
120	TRUE
382	TRUE
24	FALSE
188	TRUE
41	FALSE
SF3b complex	FALSE
322	TRUE
302	TRUE
commitment complex	FALSE
LMA1 complex	TRUE
214	TRUE
387	TRUE
389	TRUE
VTC heterotetrameric complex	TRUE
391	TRUE
344	TRUE
RSC complex	FALSE
Shq1pNaf1p complex	TRUE
Car1pArg3p complex	TRUE
HMC Complex	TRUE
203	TRUE
Cdc7pDbf4p complex	TRUE
139	TRUE
71	TRUE
390	TRUE
mitochondrial sorting and assembly machinery complex	TRUE
248	TRUE
Pho85pPho80p complex	TRUE
Ski Complex	TRUE
378	TRUE
Isocitrate dehydrogenase	TRUE
164	TRUE
119	TRUE
DNA replication factor C complex (Rad24p)	FALSE
box CD snoRNP complex	TRUE
Png1pRad23p complex	TRUE
152	TRUE
Rad6pRad18p complex	TRUE
Cdc42pSte20p complex	TRUE
Elongator complex	FALSE
COMPASS complex	FALSE
78	FALSE
alphaalpha-trehalose-phosphate synthase complex (UDP-forming)	TRUE
OAF complex	TRUE
91	TRUE
159	TRUE
Dig1pSte12pDig2p complex	TRUE
133	TRUE
85	TRUE
Cdc28pCln2p complex	TRUE
350	TRUE
alpha-16-mannosyltransferase complex(Anp1pMnn9p)	FALSE
357	TRUE
Cdc48p complex	TRUE
Cdc28pClb2p complex	TRUE
smc5p-Smc6p complex	FALSE
RNA polymerase I upstream activating factor complex	FALSE
Prp9pPrp11pPrp21p complex(SF3a complex)	TRUE
307	TRUE
388	TRUE
365	TRUE
Tap42pSit4pRrd1p complex	TRUE
179	TRUE
8	FALSE
279	TRUE
polarisome complex	TRUE
92	TRUE
serine C-palmitoyltransferase complex	TRUE
Fatty Acid Import Complex	TRUE
297	TRUE
166	TRUE
190	TRUE
379	TRUE
197	TRUE
333	TRUE
FACT complex	TRUE
35	FALSE
245	TRUE
DNA-directed RNA polymerase III complex	FALSE
10	FALSE
121	TRUE
nuclear cohesin complex	TRUE
CCAAT-binding factor complex	TRUE
NuA4 histone acetyltransferase complex	FALSE
Origin recognition complex	FALSE
314	TRUE
nuclear condensin complex	FALSE
RAVE complex	TRUE
385	TRUE
Pho85pPcl8p complex	TRUE
histone H2A phosphatase complex	TRUE
Cdc28pCln1p complex	TRUE
311	TRUE
326	TRUE
352	TRUE
235	TRUE
H-transporting ATPase vacuolar	FALSE
Ada2pGcn5pAda3 transcription activator complex	TRUE
TORC 2 complex	FALSE
UTP A complex	FALSE
157	TRUE
Mob2pCbk1p complex	TRUE
nucleotide-excision repair factor 3 complex	FALSE
336	TRUE
Esp1pPds1p complex	TRUE
323	TRUE
215	TRUE
317	TRUE
ISW1a complex	TRUE
375	TRUE
signalosome complex	FALSE
Swh1pNvj1p complex	TRUE
Hop2pMnd1p complex	TRUE
F0F1 ATP synthase (complex V)	FALSE
176	TRUE
205	TRUE
STE5-MAPK complex	TRUE
305	TRUE
334	TRUE
298	TRUE
Psr1pWhi2p complex	TRUE
367	TRUE
transcription factor TFIIE complex	TRUE
Rsp5pBul2 ubiquitin ligase complex	TRUE
Pho85pPcl1p complex	TRUE
155	TRUE
ARGR complex	TRUE
192	TRUE
144	TRUE
Uba2pAos1p complex	TRUE
transcription factor TFIID complex	FALSE
363	TRUE
Sko1pCyc8pTup1 repressor complex	TRUE
381	TRUE
338	TRUE
206	TRUE
ESCRT I complex	TRUE
Cdc28pClb6p complex	TRUE
Ctf3p protein complex	TRUE
156	TRUE
DNA polymerase epsilon complex	TRUE
DNA replication factor C complex (Elg1p)	FALSE
75	TRUE
