complex	nodes	edges	planar
Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex complex III)	10	27	FALSE
162	2	1	TRUE
105	3	3	TRUE
65	9	26	FALSE
118	3	3	TRUE
283	2	1	TRUE
Ssh1p translocon complex	3	2	TRUE
117	4	6	TRUE
44	8	25	FALSE
Cbp1pPet309p complex	2	1	TRUE
112	4	6	TRUE
229	2	1	TRUE
AP-1 adaptor complex	5	9	TRUE
calcineurin complex	3	3	TRUE
protein phosphatase type 2A complex (Rts1p)	3	3	TRUE
Aurora B-INCENP protein kinase complex	2	1	TRUE
CORVET complex	6	15	FALSE
50	7	17	FALSE
MRX complex	3	3	TRUE
33	8	21	FALSE
371	2	1	TRUE
204	2	1	TRUE
zeta DNA polymerase complex	2	1	TRUE
120	4	4	TRUE
382	2	1	TRUE
24	10	23	FALSE
188	2	1	TRUE
41	8	18	FALSE
SF3b complex	6	11	FALSE
322	2	1	TRUE
302	2	1	TRUE
commitment complex	21	200	FALSE
LMA1 complex	0	0	TRUE
214	2	1	TRUE
387	2	1	TRUE
389	2	1	TRUE
VTC heterotetrameric complex	4	5	TRUE
391	2	1	TRUE
344	2	1	TRUE
RSC complex	17	123	FALSE
Shq1pNaf1p complex	2	1	TRUE
Car1pArg3p complex	2	1	TRUE
HMC Complex	4	4	TRUE
203	4	6	TRUE
Cdc7pDbf4p complex	2	1	TRUE
139	3	2	TRUE
71	4	6	TRUE
390	2	1	TRUE
mitochondrial sorting and assembly machinery complex	4	6	TRUE
248	0	0	TRUE
Pho85pPho80p complex	2	1	TRUE
Ski Complex	3	3	TRUE
378	2	1	TRUE
Isocitrate dehydrogenase	2	1	TRUE
164	3	3	TRUE
119	0	0	TRUE
DNA replication factor C complex (Rad24p)	5	10	FALSE
box CD snoRNP complex	4	6	TRUE
Png1pRad23p complex	2	1	TRUE
152	3	3	TRUE
Rad6pRad18p complex	2	1	TRUE
Cdc42pSte20p complex	2	1	TRUE
Elongator complex	6	15	FALSE
COMPASS complex	8	28	FALSE
78	5	10	FALSE
alphaalpha-trehalose-phosphate synthase complex (UDP-forming)	4	6	TRUE
OAF complex	2	1	TRUE
91	4	6	TRUE
159	3	3	TRUE
Dig1pSte12pDig2p complex	3	3	TRUE
133	2	1	TRUE
85	5	7	TRUE
Cdc28pCln2p complex	2	1	TRUE
350	2	1	TRUE
alpha-16-mannosyltransferase complex(Anp1pMnn9p)	5	10	FALSE
357	2	1	TRUE
Cdc48p complex	3	3	TRUE
Cdc28pClb2p complex	2	1	TRUE
smc5p-Smc6p complex	8	28	FALSE
RNA polymerase I upstream activating factor complex	6	15	FALSE
Prp9pPrp11pPrp21p complex(SF3a complex)	3	3	TRUE
307	2	1	TRUE
388	0	0	TRUE
365	2	1	TRUE
Tap42pSit4pRrd1p complex	3	3	TRUE
179	3	3	TRUE
8	27	106	FALSE
279	2	1	TRUE
polarisome complex	3	3	TRUE
92	4	5	TRUE
serine C-palmitoyltransferase complex	2	1	TRUE
Fatty Acid Import Complex	3	3	TRUE
297	2	1	TRUE
166	3	3	TRUE
190	3	3	TRUE
379	2	1	TRUE
197	3	3	TRUE
333	0	0	TRUE
FACT complex	2	1	TRUE
35	8	28	FALSE
245	0	0	TRUE
DNA-directed RNA polymerase III complex	17	109	FALSE
10	26	238	FALSE
121	4	6	TRUE
nuclear cohesin complex	5	9	TRUE
CCAAT-binding factor complex	4	6	TRUE
NuA4 histone acetyltransferase complex	13	78	FALSE
Origin recognition complex	6	15	FALSE
314	2	1	TRUE
nuclear condensin complex	5	10	FALSE
RAVE complex	3	3	TRUE
385	2	1	TRUE
Pho85pPcl8p complex	2	1	TRUE
histone H2A phosphatase complex	3	3	TRUE
Cdc28pCln1p complex	2	1	TRUE
311	2	1	TRUE
326	2	1	TRUE
352	2	1	TRUE
235	3	3	TRUE
H-transporting ATPase vacuolar	13	56	FALSE
Ada2pGcn5pAda3 transcription activator complex	5	9	TRUE
TORC 2 complex	8	25	FALSE
UTP A complex	7	21	FALSE
157	0	0	TRUE
Mob2pCbk1p complex	2	1	TRUE
nucleotide-excision repair factor 3 complex	7	18	FALSE
336	2	1	TRUE
Esp1pPds1p complex	2	1	TRUE
323	2	1	TRUE
215	2	1	TRUE
317	2	1	TRUE
ISW1a complex	2	1	TRUE
375	2	1	TRUE
signalosome complex	6	14	FALSE
Swh1pNvj1p complex	2	1	TRUE
Hop2pMnd1p complex	2	1	TRUE
F0F1 ATP synthase (complex V)	17	74	FALSE
176	3	3	TRUE
205	0	0	TRUE
STE5-MAPK complex	4	6	TRUE
305	0	0	TRUE
334	2	1	TRUE
298	2	1	TRUE
Psr1pWhi2p complex	2	1	TRUE
367	2	1	TRUE
transcription factor TFIIE complex	2	1	TRUE
Rsp5pBul2 ubiquitin ligase complex	2	1	TRUE
Pho85pPcl1p complex	2	1	TRUE
155	3	3	TRUE
ARGR complex	4	5	TRUE
192	3	3	TRUE
144	3	3	TRUE
Uba2pAos1p complex	2	1	TRUE
transcription factor TFIID complex	15	105	FALSE
363	2	1	TRUE
Sko1pCyc8pTup1 repressor complex	3	3	TRUE
381	2	1	TRUE
338	2	1	TRUE
206	0	0	TRUE
ESCRT I complex	4	5	TRUE
Cdc28pClb6p complex	2	1	TRUE
Ctf3p protein complex	3	3	TRUE
156	3	2	TRUE
DNA polymerase epsilon complex	4	6	TRUE
DNA replication factor C complex (Elg1p)	5	10	FALSE
75	5	8	TRUE
Ume6pIme1p complex	2	1	TRUE
Sfb3pSec23p complex	2	1	TRUE
28	9	32	FALSE
318	0	0	TRUE
123	4	4	TRUE
mitochondrial ATPase inhibitor complex	2	1	TRUE
alpha DNA polymeraseprimase complex	4	6	TRUE
Csm1pLrs4p complex	2	1	TRUE
Sap155pSit4p complex	2	1	TRUE
220	2	1	TRUE
213	2	1	TRUE
Cdc28pClb3p complex	2	1	TRUE
U1 snRNP complex	17	128	FALSE
324	2	1	TRUE
107	4	6	TRUE
DNA-directed RNA polymerase II complex	12	63	FALSE
Sec61p translocon complex	3	3	TRUE
17	7	4	TRUE
NatC complex	3	3	TRUE
360	2	1	TRUE
multi-eIF complex	8	27	FALSE
Fig4pVac14p complex	2	1	TRUE
218	2	1	TRUE
108	4	5	TRUE
341	2	1	TRUE
i-AAA complex	2	1	TRUE
267	0	0	TRUE
U4U6 x U5 tri-snRNP complex	28	277	FALSE
263	2	1	TRUE
58	0	0	TRUE
Def1pRad26p complex	2	1	TRUE
181	0	0	TRUE
56	7	21	FALSE
23	10	26	FALSE
Succinyl-CoA ligase	2	1	TRUE
253	2	1	TRUE
116	4	6	TRUE
acetolactate synthase complex	2	1	TRUE
SCF-CDC4 complex	5	9	TRUE
294	2	1	TRUE
Gyl1pGyp5p complex	2	1	TRUE
111	4	6	TRUE
243	2	1	TRUE
cytoplasmic ribosomal small subunit	55	138	FALSE
161	3	3	TRUE
211	3	3	TRUE
194	3	3	TRUE
234	0	0	TRUE
Nfs1pIsd11p complex	2	1	TRUE
142	2	1	TRUE
Nup84p complex	6	15	FALSE
158	3	2	TRUE
ribonuclease H2 complex	3	3	TRUE
189	0	0	TRUE
eIF1eIF1A40S complex	2	1	TRUE
11	22	126	FALSE
ribonucleoside-diphosphate reductase complex	3	3	TRUE
fatty acid synthase complex	2	1	TRUE
phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)	4	6	TRUE
191	0	0	TRUE
26	13	63	FALSE
UTP C complex	6	13	FALSE
313	2	1	TRUE
384	0	0	TRUE
Tup1pSsn6p complex	2	1	TRUE
38	8	28	FALSE
256	2	1	TRUE
Snf1pSnf4pSip2p complex	3	3	TRUE
66	6	13	FALSE
Sli15pBir1p complex	2	1	TRUE
369	2	1	TRUE
Ela1pElc1p complex	2	1	TRUE
Sro1pSec4pSec9p complex	3	3	TRUE
337	2	1	TRUE
RES complex	3	3	TRUE
Tof1pMrc1pCsm3p complex	3	3	TRUE
255	2	1	TRUE
