Complex	Planar?
13-beta-glucan synthase complex (Fks1pRho1p)	TRUE
13-beta-glucan synthase complex (Gsc2pSmk1p)	TRUE
6-phosphofructokinase complex	TRUE
acetolactate synthase complex	TRUE
actin cytoskeleton-regulatory complex Pan1pSla1pEnd3p complex	TRUE
Ada2pGcn5pAda3 transcription activator complex	TRUE
adenylyl cyclase complex	TRUE
adoMet-dependent tRNA methyltransferase (Mtase) Complex	TRUE
alpha DNA polymeraseprimase complex	TRUE
alpha-16-mannosyltransferase complex(Van1pMnn9p)	TRUE
alphaalpha-trehalose-phosphate synthase complex (UDP-forming)	TRUE
anthranilate synthase complex	TRUE
AP-1 adaptor complex	TRUE
AP-2 adaptor complex	TRUE
AP-3 adaptor complex	TRUE
Apg12pApg5pApg16 multimeric complex	TRUE
ARGR complex	TRUE
Atg20pSnx4pSnx41p complex	TRUE
Aurora B-INCENP protein kinase complex	TRUE
Bi3 ribonucleoprotein complex	TRUE
Bi4pNam2p complex	TRUE
Bni4pGlc7p complex	TRUE
box CD snoRNP complex	TRUE
Bub1pBub3p complex	TRUE
Bub2pBfa1p complex	TRUE
Bud14pGlc7p complex	TRUE
CAAX-protein geranylgeranyltransferase complex	TRUE
calcineurin complex	TRUE
cAMP-dependent protein kinase	TRUE
Car1pArg3p complex	TRUE
carbamoyl-phosphate synthase complex	TRUE
carboxy-terminal domain protein kinase complex	TRUE
Cbf1pMet4pMet28p complex	TRUE
CBF3 complex	TRUE
Cbp1pPet309p complex	TRUE
CCAAT-binding factor complex	TRUE
Cdc24pFar1pGbetagamma protein complex	TRUE
Cdc28pClb1p complex	TRUE
Cdc28pClb2p complex	TRUE
Cdc28pClb3p complex	TRUE
Cdc28pClb4p complex	TRUE
Cdc28pClb5p complex	TRUE
Cdc28pClb6p complex	TRUE
Cdc28pCln1p complex	TRUE
Cdc28pCln2p complex	TRUE
Cdc28pCln3p complex	TRUE
Cdc42pSte20p complex	TRUE
Cdc48p complex	TRUE
Cdc7pDbf4p complex	TRUE
chromatin accessibility complex	TRUE
chromatin assembly complex	TRUE
chromatin silencing complex	TRUE
Chz1pHtz1pHtb1p complex	TRUE
Clathrin	TRUE
cohesin loading factor complex	TRUE
COMA complex	TRUE
Cox14pCox1pMss51p complex	TRUE
Csh1pCsg2p complex	TRUE
Csm1pLrs4p complex	TRUE
Ctf3p protein complex	TRUE
Cul3p-RING ubiquitin ligase complex	TRUE
CURI complex	TRUE
cytoplasmic dynein complex	TRUE
Dcs1pDcs2 heterodimer	TRUE
Decapping Enzyme Complex	TRUE
Def1pRad26p complex	TRUE
degradosome	TRUE
Dig1pSte12pDig2p complex	TRUE
DNA ligase IV	TRUE
DNA polymerase delta complex	TRUE
DNA polymerase epsilon complex	TRUE
DNA replication factor A complex	TRUE
Dop1pMon2p complex	TRUE
Dpb11pSld2p complex	TRUE
DSIF complex	TRUE
dynactin complex	TRUE
EGO complex	TRUE
eIF1eIF1A40S complex	TRUE
eIF2	TRUE
eIF4F	TRUE
Eisosome	TRUE
EKCKEOPS protein complex	TRUE
Ela1pElc1p complex	TRUE
ER V-ATPase assembly complex	TRUE
Erv41pErv46p complex	TRUE
ESCRT I complex	TRUE
ESCRT II complex	TRUE
ESCRT III complex	TRUE
Esp1pPds1p complex	TRUE
FACT complex	TRUE
Fatty Acid Import Complex	TRUE
fatty acid synthase complex	TRUE
Fig4pVac14p complex	TRUE
Fth1pFet5p complex	TRUE
Gac1pGlc7p complex	TRUE
GAL3pGAL80p complex	TRUE
GAL4pGAL80p complex	TRUE
gamma-tubulin complex	TRUE
GARP complex	TRUE
Gcd10pGcd14p complex	TRUE
Gcn1pGcn20p complex	TRUE
GCR complex	TRUE
Geranylgeranyltransferase II (GGTase II)	TRUE
GET complex	TRUE
GINS complex	TRUE
Gip1pGlc7p complex	TRUE
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	TRUE
Grh1pBug1p complex	TRUE
GSE Complex	TRUE
GSH degradosomal complex	TRUE
guanyl-nucleotide exchange factor complex	TRUE
Gyl1pGyp5p complex	TRUE
HAT-B complex	TRUE
heterodimeric G-protein complex	TRUE
heterotrimeric G-protein complex	TRUE
HIR complex	TRUE
histone deacetylase complex	TRUE
histone H2A phosphatase complex	TRUE
