S000000001	YAL001C	S. cerevisiae	TFC3	Transcription Factor class C	1160
S000000002	YAL002W	S. cerevisiae	VPS8	Vacuolar Protein Sorting	1274
S000000005	YAL007C	S. cerevisiae	ERP2	Emp24p/Erv25p Related Protein	215
S000000009	YAL011W	S. cerevisiae	SWC3	SWr Complex	625
S000000011	YAL013W	S. cerevisiae	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	405
S000000014	YAL016W	S. cerevisiae	TPD3	tRNA Processing Deficient	635
S000000018	YAL020C	S. cerevisiae	ATS1	Alpha Tubulin Suppressor	333
S000000019	YAL021C	S. cerevisiae	CCR4	Carbon Catabolite Repression	837
S000000030	YAL032C	S. cerevisiae	PRP45	Pre-mRNA Processing	379
S000000031	YAL033W	S. cerevisiae	POP5	Processing Of Precursor RNAs	173
S000000033	YAL035W	S. cerevisiae	FUN12	Function Unknown Now	1002
S000000034	YAL036C	S. cerevisiae	RBG1	RiBosome interacting Gtpase	369
S000000037	YAL039C	S. cerevisiae	CYC3	CYtochrome C	269
S000000041	YAL043C	S. cerevisiae	PTA1	Pre-Trna Accumulation	785
S000000063	YAR002W	S. cerevisiae	NUP60	NUclear Pore	539
S000000064	YAR003W	S. cerevisiae	SWD1	Set1c, WD40 repeat protein	426
S000000065	YAR007C	S. cerevisiae	RFA1	Replication Factor A	621
S000000068	YAR010C	S. cerevisiae	""	""	440
S000000069	YAR014C	S. cerevisiae	BUD14	BUD site selection	709
S000000080	YAR035W	S. cerevisiae	YAT1	""	687
S000000098	YBL002W	S. cerevisiae	HTB2	Histone h Two B	131
S000000099	YBL003C	S. cerevisiae	HTA2	Histone h Two A	132
S000000100	YBL004W	S. cerevisiae	UTP20	U Three Protein	2493
S000000110	YBL014C	S. cerevisiae	RRN6	Regulation of RNA polymerase I	894
S000000114	YBL018C	S. cerevisiae	POP8	Processing Of Precursor RNAs	133
S000000122	YBL026W	S. cerevisiae	LSM2	Like SM	95
S000000123	YBL027W	S. cerevisiae	RPL19B	Ribosomal Protein of the Large subunit	189
S000000137	YBL041W	S. cerevisiae	PRE7	PRoteinase yscE	241
S000000154	YBL058W	S. cerevisiae	SHP1	Suppressor of High-copy PP1	423
S000000168	YBL072C	S. cerevisiae	RPS8A	Ribosomal Protein of the Small subunit	200
S000000170	YBL074C	S. cerevisiae	AAR2	A1-Alpha2 Repression	355
S000000180	YBL084C	S. cerevisiae	CDC27	Cell Division Cycle	758
S000000186	YBL090W	S. cerevisiae	MRP21	Mitochondrial Ribosomal Protein	177
S000000188	YBL092W	S. cerevisiae	RPL32	Ribosomal Protein of the Large subunit	130
S000000189	YBL093C	S. cerevisiae	ROX3	Regulation by OXygen	220
S000000193	YBL097W	S. cerevisiae	BRN1	homolog of BaRreN	754
S000000200	YBL104C	S. cerevisiae	SEA4	SEh1-Associated	1038
S000000213	YBR009C	S. cerevisiae	HHF1	Histone H Four	103
S000000214	YBR010W	S. cerevisiae	HHT1	Histone H Three	136
S000000235	YBR031W	S. cerevisiae	RPL4A	Ribosomal Protein of the Large subunit	362
S000000252	YBR048W	S. cerevisiae	RPS11B	Ribosomal Protein of the Small subunit	156
S000000259	YBR055C	S. cerevisiae	PRP6	Pre-mRNA Processing	899
S000000264	YBR060C	S. cerevisiae	ORC2	Origin Recognition Complex	620
S000000269	YBR065C	S. cerevisiae	ECM2	ExtraCellular Mutant	364
S000000276	YBR072W	S. cerevisiae	HSP26	Heat Shock Protein	214
S000000283	YBR079C	S. cerevisiae	RPG1	""	964
S000000285	YBR081C	S. cerevisiae	SPT7	SuPpressor of Ty's	1332
S000000288	YBR084W	S. cerevisiae	MIS1	MItochondrial C1-tetrahydrofolate Synthase	975
S000000291	YBR087W	S. cerevisiae	RFC5	Replication Factor C	354
S000000299	YBR095C	S. cerevisiae	RXT2	""	430
S000000301	YBR097W	S. cerevisiae	VPS15	Vacuolar Protein Sorting	1454
S000000306	YBR102C	S. cerevisiae	EXO84	EXOcyst	753
S000000307	YBR103W	S. cerevisiae	SIF2	Sir4p-Interacting Factor	535
S000000309	YBR105C	S. cerevisiae	VID24	Vacuolar Import and Degradation	362
S000000311	YBR107C	S. cerevisiae	IML3	Increased Minichromosome Loss	245
S000000313	YBR109C	S. cerevisiae	CMD1	CalMoDulin	147
S000000318	YBR114W	S. cerevisiae	RAD16	RADiation sensitive	790
S000000323	YBR119W	S. cerevisiae	MUD1	Mutant U1 Die	298
S000000327	YBR123C	S. cerevisiae	TFC1	Transcription Factor class C	649
S000000331	YBR127C	S. cerevisiae	VMA2	Vacuolar Membrane Atpase	517
S000000332	YBR128C	S. cerevisiae	ATG14	AuTophaGy related	344
S000000339	YBR135W	S. cerevisiae	CKS1	Cdc28 Kinase Subunit	150
S000000346	YBR142W	S. cerevisiae	MAK5	MAintenance of Killer	773
S000000350	YBR146W	S. cerevisiae	MRPS9	Mitochondrial Ribosomal Protein, Small subunit	278
S000000356	YBR152W	S. cerevisiae	SPP381	Suppressor of PrP38-1	291
S000000357	YBR153W	S. cerevisiae	RIB7	RIBoflavin biosynthesis	244
S000000358	YBR154C	S. cerevisiae	RPB5	RNA Polymerase B	215
S000000363	YBR159W	S. cerevisiae	IFA38	""	347
S000000364	YBR160W	S. cerevisiae	CDC28	Cell Division Cycle	298
S000000371	YBR167C	S. cerevisiae	POP7	Processing Of Precursor RNAs	140
S000000373	YBR169C	S. cerevisiae	SSE2	Stress Seventy subfamily E	693
S000000374	YBR170C	S. cerevisiae	NPL4	Nuclear Protein Localization	580
S000000379	YBR175W	S. cerevisiae	SWD3	Set1c, WD40 repeat protein	315
S000000385	YBR181C	S. cerevisiae	RPS6B	Ribosomal Protein of the Small subunit	236
S000000393	YBR189W	S. cerevisiae	RPS9B	Ribosomal Protein of the Small subunit	195
S000000395	YBR191W	S. cerevisiae	RPL21A	Ribosomal Protein of the Large subunit	160
S000000397	YBR193C	S. cerevisiae	MED8	MEDiator complex	223
S000000402	YBR198C	S. cerevisiae	TAF5	TATA binding protein-Associated Factor	798
S000000409	YBR205W	S. cerevisiae	KTR3	Kre Two Related	404
S000000415	YBR211C	S. cerevisiae	AME1	Associated with Microtubules and Essential	324
S000000435	YBR231C	S. cerevisiae	SWC5	SWr Complex	303
S000000438	YBR234C	S. cerevisiae	ARC40	ARp2/3 Complex subunit	384
S000000449	YBR245C	S. cerevisiae	ISW1	Imitation SWitch subfamily	1129
S000000451	YBR247C	S. cerevisiae	ENP1	Essential Nuclear Protein	483
S000000455	YBR251W	S. cerevisiae	MRPS5	Mitochondrial Ribosomal Protein, Small subunit	307
S000000457	YBR253W	S. cerevisiae	SRB6	Suppressor of RNA polymerase B	121
S000000458	YBR254C	S. cerevisiae	TRS20	TRapp Subunit	175
S000000461	YBR257W	S. cerevisiae	POP4	Processing Of Precursor RNAs	279
S000000462	YBR258C	S. cerevisiae	SHG1	Set1c, Hypothetical G	142
S000000483	YBR279W	S. cerevisiae	PAF1	RNA Polymerase II Associated Factor	445
S000000493	YBR289W	S. cerevisiae	SNF5	Sucrose NonFermenting	905
S000000516	YCL010C	S. cerevisiae	SGF29	SaGa associated Factor	259
S000000517	YCL011C	S. cerevisiae	GBP2	G-strand Binding Protein	427
S000000522	YCL017C	S. cerevisiae	NFS1	NiFS-like	497
S000000529	YCL024W	S. cerevisiae	KCC4	""	1037
S000000542	YCL037C	S. cerevisiae	SRO9	Suppressor of rho3	434
S000000544	YCL039W	S. cerevisiae	GID7	Glucose Induced Degradation deficient	745
S000000553	YCL048W	S. cerevisiae	SPS22	SPorulation Specific 2 too (2)	463
S000000559	YCL054W	S. cerevisiae	SPB1	Suppressor of PaB1 mutant	841
S000000564	YCL059C	S. cerevisiae	KRR1	contains KRR-R motif	316
S000000595	YCR002C	S. cerevisiae	CDC10	Cell Division Cycle	322
S000000602	YCR009C	S. cerevisiae	RVS161	Reduced Viability on Starvation	265
S000000607	YCR014C	S. cerevisiae	POL4	POLymerase	582
S000000618	YCR024C	S. cerevisiae	SLM5	Synthetic Lethal with Mss4	492
S000000627	YCR031C	S. cerevisiae	RPS14A	Ribosomal Protein of the Small subunit	137
S000000629	YCR033W	S. cerevisiae	SNT1	SaNT domains	1226
S000000631	YCR035C	S. cerevisiae	RRP43	Ribosomal RNA Processing	394
